stream server start
2024/09/22 09:01:51 [-C---]          0 B       0 bps 
2024/09/22 09:13:26 [CC---]     883583 B   10093 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:13:31 [CC---]     890086 B   10529 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:13:36 [CC---]     896581 B   10063 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:13:41 [CC---]     903084 B   10535 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:13:46 [CC---]     909579 B   10078 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:13:51 [CC---]     916046 B   10401 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:13:56 [CC---]     922461 B   10078 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:14:01 [CC---]     928924 B   10492 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:14:06 [CC---]     935387 B   10031 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:14:11 [CC---]     941850 B   10471 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:14:16 [CC---]     948321 B   10046 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:14:21 [CC---]     954824 B   10529 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:14:26 [CC---]     961319 B   10090 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:14:31 [CC---]     967822 B   10550 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:14:36 [CC---]     974293 B   10031 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:14:41 [CC---]     980780 B   10540 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:14:46 [CC---]     987275 B   10063 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:14:51 [CC---]     993770 B   10545 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:14:56 [CC---]    1000257 B   10110 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:15:01 [CC---]    1006728 B   10508 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:15:06 [CC---]    1013231 B   10110 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:15:11 [CC---]    1019726 B   10572 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:15:16 [CC---]    1026205 B   10095 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:15:21 [CC---]    1032708 B   10540 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:15:26 [CC---]    1039195 B   10083 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:15:31 [CC---]    1045677 B   10540 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:15:36 [CC---]    1052172 B   10100 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:15:41 [CC---]    1058667 B   10100 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:15:46 [CC---]    1065162 B   10100 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:15:51 [CC---]    1071649 B   10041 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:15:56 [CC---]    1078152 B   10100 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:16:01 [CC---]    1084655 B   10090 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:16:06 [CC---]    1091158 B   10105 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:16:11 [CC---]    1097645 B   10100 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:16:16 [CC---]    1104140 B   10115 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:16:21 [CC---]    1110619 B   10036 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:16:26 [CC---]    1117122 B   10125 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:16:31 [CC---]    1123625 B   10100 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:16:36 [CC---]    1130120 B   10115 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:16:41 [CC---]    1136615 B   10100 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
